_,Starting chaos monkey,2024-10-27 16:17:53_122
site_1,Changing snmp profile for J5NNQ8S7E8F2OF4T from site_1,2024-10-27 16:18:12_496
site_1,Unregistering ZDIBO4WWKP36TU5W from site_1,2024-10-27 16:18:32_158
site_1,Changing vlan type for 5UYUWE3316U1KQC2 from site_1,2024-10-27 16:18:33_682
site_1,Changing state of web-proxy from site_1,2024-10-27 16:19:12_932
site_1,Changing gemport for 1TX9QJGW1DTV7Z7Y from site_1,2024-10-27 16:19:29_987
site_1,Changing c vlan for 1SKHXX1PO6ECH1FI from site_1,2024-10-27 16:20:10_469
site_1,Changing state of sftp-client from site_1,2024-10-27 16:20:33_384
site_1,Changing c vlan for 9XWHK2Q1I8CA2KML from site_1,2024-10-27 16:21:03_207
site_1,Changing vlan type for NX3AAM9X4OQM1W5U from site_1,2024-10-27 16:21:31_944
site_1,Changing snmp profile for KBQQ72AQOA1NNELP from site_1,2024-10-27 16:22:20_296
site_1,Changing snmp profile for K2VYEZCU6SVBE3LW from site_1,2024-10-27 16:23:33_608
site_1,Changing c vlan for 3VEL5OK7ZFP6DT5O from site_1,2024-10-27 16:24:21_127
site_1,Unregistering G1RNBOMA1C37EPGM from site_1,2024-10-27 16:24:39_919
site_1,Changing state of ntp6 from site_1,2024-10-27 16:27:18_204
site_1,Unregistering S9R6GZ60X0L5OFU7 from site_1,2024-10-27 16:28:41_333
site_1,Changing vlan type for BRPCWEEQ5OSDK3U4 from site_1,2024-10-27 16:30:33_336
site_1,Changing snmp profile for CHG3GHBECDSBXXQQ from site_1,2024-10-27 16:31:01_511
site_1,Unregistering 6TV1YJUZ7PPPC02T from site_1,2024-10-27 16:31:59_812
site_1,Changing c vlan for 8DBYS2F22XGRHIKT from site_1,2024-10-27 16:32:38_878
site_1,Changing gemport for WNF6ILOOEI81RHZ1 from site_1,2024-10-27 16:32:43_206
site_1,Changing gemport for J6N88GDV24H8Q7RK from site_1,2024-10-27 16:33:01_057
site_1,Changing state of ssh from site_1,2024-10-27 16:33:46_385
site_1,Unregistering 9S68K0BI27YQYMO7 from site_1,2024-10-27 16:34:20_152
site_1,Changing vlan type for 80DXGP01AG6BYZIP from site_1,2024-10-27 16:34:56_726
site_1,Changing gemport for MALSDNW67S8ZRJ81 from site_1,2024-10-27 16:35:25_619
site_1,Changing state of sshv6 from site_1,2024-10-27 16:36:33_481
site_1,Changing snmp profile for 5CQ70PIX4L02NAUC from site_1,2024-10-27 16:37:15_822
site_1,Changing state of dhcp-relay from site_1,2024-10-27 16:37:49_037
site_1,Changing gemport for H8LO7TMFZ3YDSZRE from site_1,2024-10-27 16:38:29_048
site_1,Changing s vlan for A116BT82L3G7CG5W from site_1,2024-10-27 16:38:58_289
site_1,Changing gemport for SHM2K4PFBR7QH6KO from site_1,2024-10-27 16:40:11_533
site_1,Changing snmp profile for WZGPEM96TI81SNPU from site_1,2024-10-27 16:40:38_747
site_1,Changing gemport for QHFT6A8QE2SDYVSS from site_1,2024-10-27 16:40:51_879
site_1,Changing vlan type for ZUFTOPCWFB4GXCQL from site_1,2024-10-27 16:41:05_966
site_1,Changing gemport for RDHMQCUJLL4IEZEN from site_1,2024-10-27 16:41:21_488
site_1,Changing s vlan for ZUFTOPCWFB4GXCQL from site_1,2024-10-27 16:42:00_004
site_1,Unregistering T8YOZJD1MHGDI1OW from site_1,2024-10-27 16:42:56_363
site_1,Changing snmp profile for EXMFLFVT1QN9EAMS from site_1,2024-10-27 16:43:41_188
site_1,Unregistering NF9A5M6N7QO7BWFO from site_1,2024-10-27 16:45:01_542
site_1,Changing s vlan for 6Y5NH29N9IZ55DD4 from site_1,2024-10-27 16:45:06_984
site_1,Changing vlan type for A1GX7PCJ0JZPTH4I from site_1,2024-10-27 16:45:19_885
site_1,Changing vlan type for GBGVE6NJ68P8E1VB from site_1,2024-10-27 16:45:30_992
site_1,Unregistering 6I2GL381MRA17R0E from site_1,2024-10-27 16:46:42_300
site_1,Unregistering 22UGRVN8C9EDD634 from site_1,2024-10-27 16:47:06_606
site_1,Unregistering 60ZGMGS341U37LJV from site_1,2024-10-27 16:47:21_440
site_1,Changing c vlan for ER7CTN5Y1I1PPVAD from site_1,2024-10-27 16:47:47_617
site_1,Changing snmp profile for LGMLW91BBCWLQCPL from site_1,2024-10-27 16:48:00_396
site_1,Changing snmp profile for 5V07RE00Y7ZPTYBG from site_1,2024-10-27 16:48:27_111
site_1,Changing snmp profile for AWI3GFA6OD1NYOPH from site_1,2024-10-27 16:48:39_459
site_1,Changing state of mqtt from site_1,2024-10-27 16:50:25_458
site_1,Changing s vlan for H87NY8AT5W561Y01 from site_1,2024-10-27 16:51:03_281
site_1,Changing gemport for H8LO7TMFZ3YDSZRE from site_1,2024-10-27 16:51:14_645
site_1,Changing vlan type for 4FNCYCDLOIOADNFI from site_1,2024-10-27 16:51:16_484
site_1,Changing s vlan for 1SKHXX1PO6ECH1FI from site_1,2024-10-27 16:51:34_244
site_1,Changing state of capwap from site_1,2024-10-27 16:52:34_269
site_1,Changing vlan type for 8DBYS2F22XGRHIKT from site_1,2024-10-27 16:53:09_973
site_1,Changing s vlan for HCUH6TM04KSF9NOR from site_1,2024-10-27 16:53:30_088
site_1,Changing snmp profile for HBR6KQIINT9UINFY from site_1,2024-10-27 16:54:14_304
site_1,Changing vlan type for 0DN4YPEFUIFHC5L6 from site_1,2024-10-27 16:54:29_014
site_1,Unregistering NM7HQZ2YGEWSASPP from site_1,2024-10-27 16:54:33_660
