_,Starting chaos monkey,2024-11-07 12:58:38_189
site_7,Changing gemport for YN5SQ2AXPDO92F6E from site_7,2024-11-07 12:58:40_573
site_5,Changing gemport for 4XUBU9IGL94A1C5H from site_5,2024-11-07 12:58:42_613
site_2,Unregistering FR8I24HB0WB7T468 from site_2,2024-11-07 12:58:46_887
site_5,Changing gemport for AJ57MVMJ0LCOUNT8 from site_5,2024-11-07 12:58:54_842
site_4,Changing state of dhcpv6-relay from site_4,2024-11-07 12:58:55_390
site_6,Changing vlan type for 04CY6S4GHLR6E1VX from site_6,2024-11-07 12:58:55_829
site_2,Changing snmp profile for AJ57MVMJ0LCOUNT8 from site_2,2024-11-07 12:59:06_495
site_7,Changing snmp profile for 62JKDTNI1P8XBBXU from site_7,2024-11-07 12:59:06_855
site_5,Unregistering WQTLUF0K8JCZ3W4O from site_5,2024-11-07 12:59:11_015
site_5,Changing gemport for 94ID05IH7SCWT0SW from site_5,2024-11-07 12:59:12_322
site_7,Changing gemport for 6342QJX1G8BK3CXO from site_7,2024-11-07 12:59:12_702
site_1,Changing c vlan for R17W7TELMHSMJUFT from site_1,2024-11-07 12:59:27_305
site_3,Changing vlan type for 94ID05IH7SCWT0SW from site_3,2024-11-07 12:59:32_705
site_7,Changing s vlan for L1G2ITV851O5KXWI from site_7,2024-11-07 12:59:41_144
site_3,Changing snmp profile for WQTLUF0K8JCZ3W4O from site_3,2024-11-07 12:59:44_753
site_3,Changing state of mqtt from site_3,2024-11-07 12:59:48_612
site_7,Changing snmp profile for STXLDI35LJ29FMEI from site_7,2024-11-07 12:59:52_040
site_2,Changing snmp profile for 5NTA3OQAOLIYYOQU from site_2,2024-11-07 12:59:57_349
site_4,Unregistering P3D20LT6DTV7R1RS from site_4,2024-11-07 13:00:00_689
site_5,Changing s vlan for R17W7TELMHSMJUFT from site_5,2024-11-07 13:00:02_932
site_7,Changing s vlan for MZ5HG4HN6K5EM5WM from site_7,2024-11-07 13:00:04_062
site_3,Changing state of web-proxy from site_3,2024-11-07 13:00:05_876
site_2,Changing snmp profile for GVXMEDXDW2E5ZNYP from site_2,2024-11-07 13:00:11_722
