time,site,event,timestamp
2024-10-04 08:39:42_867,,site_1,error,Boards: board 4 is Standby_active
2024-10-04 08:41:45_933,,site_1,error,ONT J5NNQ8S7E8F2OF4T has low voltage
2024-10-04 08:41:49_310,,site_1,error,Boards: board 4 is Standby_failed
2024-10-04 08:45:58_290,,site_1,error,ONT UFHM654DKASP9V2V has high voltage
2024-10-04 08:46:01_513,,site_1,error,Boards: board 4 is Standby_active
2024-10-04 08:48:04_885,,site_1,error,ONT G1RNBOMA1C37EPGM has high voltage
2024-10-04 08:50:10_809,,site_1,error,ONT TKKMZZQSHY24VYEH has low voltage
2024-10-04 08:50:10_809,,site_1,error,ONT EGQXUIU2RKAY4OHX has high voltage
2024-10-04 08:50:10_809,,site_1,error,ONT QXPFSOM6UM6I6G7L has normal voltage
2024-10-04 08:50:14_176,,site_1,error,Boards: board 4 is Standby_failed
