site,event,timestamp
site_2,unregistered WKH7PURY9YSKCG4O,2024-07-23 10:26:52,564
site_2,unregistered WKH7PURY9YSKCG4O,2024-07-23 10:27:00,966
site_2,registered WKH7PURY9YSKCG4O,2024-07-23 10:27:06,721
site_1,unregistered 1FW5X3UTBSOTVDHZ,2024-07-23 10:27:14,815
site_1,unregistered 1FW5X3UTBSOTVDHZ,2024-07-23 10:27:20,372
site_1,registered 1FW5X3UTBSOTVDHZ,2024-07-23 10:27:29,008
site_2,unregistered ROLY6NP9UVBI5T5Y,2024-07-23 10:27:43,449
site_2,unregistered ROLY6NP9UVBI5T5Y,2024-07-23 10:27:51,844
site_2,registered ROLY6NP9UVBI5T5Y,2024-07-23 10:27:57,642
site_1,unregistered FJ619DVLMHZXK3X4,2024-07-23 10:28:00,040
site_1,unregistered FJ619DVLMHZXK3X4,2024-07-23 10:28:05,637
site_1,unregistered FJ619DVLMHZXK3X4,2024-07-23 10:28:11,214
site_1,registered FJ619DVLMHZXK3X4,2024-07-23 10:28:14,047
site_1,unregistered 1FW5X3UTBSOTVDHZ,2024-07-23 10:29:07,033
site_1,unregistered 1FW5X3UTBSOTVDHZ,2024-07-23 10:29:12,762
site_1,registered 1FW5X3UTBSOTVDHZ,2024-07-23 10:29:21,147
site_1,unregistered 3UMRZJG1SVHS4UD4,2024-07-23 10:29:40,564
site_1,unregistered ED8BURNCTPMFBZC0,2024-07-23 10:29:46,227
site_1,unregistered 3UMRZJG1SVHS4UD4,2024-07-23 10:29:46,227
site_1,unregistered ED8BURNCTPMFBZC0,2024-07-23 10:29:51,789
site_1,unregistered 3UMRZJG1SVHS4UD4,2024-07-23 10:29:51,789
site_1,registered 3UMRZJG1SVHS4UD4,2024-07-23 10:29:54,616
site_1,unregistered ED8BURNCTPMFBZC0,2024-07-23 10:29:57,290
site_1,registered ED8BURNCTPMFBZC0,2024-07-23 10:30:00,254
site_2,unregistered X5CO7IRKUYINQFP4,2024-07-23 10:30:06,308
site_1,unregistered 5V5WRCEHUDMVC1AV,2024-07-23 10:30:14,103
site_2,unregistered X5CO7IRKUYINQFP4,2024-07-23 10:30:14,691
site_1,unregistered 5V5WRCEHUDMVC1AV,2024-07-23 10:30:19,704
site_2,registered X5CO7IRKUYINQFP4,2024-07-23 10:30:20,429
site_1,registered 5V5WRCEHUDMVC1AV,2024-07-23 10:30:28,109
site_1,unregistered U341KZE0NOR29B2N,2024-07-23 10:30:36,415
site_1,unregistered U341KZE0NOR29B2N,2024-07-23 10:30:41,992
site_1,registered U341KZE0NOR29B2N,2024-07-23 10:30:50,563
site_1,unregistered NQHL2Q8J0N9S0E02,2024-07-23 10:30:58,880
site_1,unregistered NQHL2Q8J0N9S0E02,2024-07-23 10:31:04,430
site_1,unregistered NQHL2Q8J0N9S0E02,2024-07-23 10:31:10,009
site_1,registered NQHL2Q8J0N9S0E02,2024-07-23 10:31:12,880
site_2,unregistered XSGSFXGA6OQ9ZEGV,2024-07-23 10:31:30,568
site_2,unregistered XSGSFXGA6OQ9ZEGV,2024-07-23 10:31:39,218
site_2,unregistered W0GK44GC03QE6ZNL,2024-07-23 10:31:39,218
site_2,registered XSGSFXGA6OQ9ZEGV,2024-07-23 10:31:44,839
site_2,unregistered W0GK44GC03QE6ZNL,2024-07-23 10:31:47,771
site_2,registered W0GK44GC03QE6ZNL,2024-07-23 10:31:53,499
