site,event,timestamp
site_2,OLT not responding,2024-07-24 11:52:01:313
site_2,OLT up,2024-07-24 11:52:03:820
site_2,OLT not responding,2024-07-24 11:52:21:341
site_2,OLT up,2024-07-24 11:52:21:799
site_3,OLT not responding,2024-07-24 11:52:28:836
site_3,OLT up,2024-07-24 11:52:37:052
site_1,OLT not responding,2024-07-24 11:52:52:199
site_1,OLT up,2024-07-24 11:52:58:299
site_4,OLT not responding,2024-07-24 11:53:23:895
site_4,OLT up,2024-07-24 11:53:24:365
site_3,OLT not responding,2024-07-24 11:53:36:637
site_3,OLT up,2024-07-24 11:53:37:132
site_2,OLT not responding,2024-07-24 11:53:52:974
site_2,OLT up,2024-07-24 11:53:53:445
site_5,OLT not responding,2024-07-24 11:54:02:879
site_5,OLT up,2024-07-24 11:54:12:828
site_1,OLT not responding,2024-07-24 11:54:59:977
site_1,OLT up,2024-07-24 11:55:00:456
site_3,OLT not responding,2024-07-24 11:55:17:641
site_3,OLT up,2024-07-24 11:55:24:828
site_4,OLT not responding,2024-07-24 11:55:43:310
site_4,OLT up,2024-07-24 11:55:53:094
site_5,OLT not responding,2024-07-24 11:56:11:516
site_5,OLT up,2024-07-24 11:56:14:789
site_5,OLT not responding,2024-07-24 11:56:28:373
site_5,OLT up,2024-07-24 11:56:37:500
site_1,OLT not responding,2024-07-24 11:56:55:570
site_1,OLT up,2024-07-24 11:56:56:409
site_2,OLT not responding,2024-07-24 11:57:11:512
site_2,OLT up,2024-07-24 11:57:13:318
site_4,OLT not responding,2024-07-24 11:57:30:724
site_4,OLT up,2024-07-24 11:57:31:193
site_2,OLT not responding,2024-07-24 11:57:47:625
site_2,OLT up,2024-07-24 11:57:50:328
site_1,OLT not responding,2024-07-24 11:57:55:186
site_1,OLT up,2024-07-24 11:57:58:200
