_,Starting chaos monkey,2024-11-07 15:54:33_401
site_2,Changing state of web-proxy from site_2,2024-11-07 15:54:36_479
site_6,Changing c vlan for PFI4ZA6WX9R507NX from site_6,2024-11-07 15:54:38_126
site_3,Changing s vlan for LUL6LGDPJ3PULGW4 from site_3,2024-11-07 15:54:51_507
site_2,Changing vlan type for O4FZKOZ8HVGCPZMB from site_2,2024-11-07 15:54:53_411
site_7,Changing c vlan for VETMQ35WXD9GDUDV from site_7,2024-11-07 15:54:55_415
site_8,Changing gemport for QG6D96MC6LTULLGW from site_8,2024-11-07 15:55:00_879
site_2,Changing state of web-proxy from site_2,2024-11-07 15:55:01_605
site_8,Changing snmp profile for YGLTKGW0WCYW6RZ2 from site_8,2024-11-07 15:55:03_226
site_2,Changing c vlan for SU8IGP7R53CRQIKI from site_2,2024-11-07 15:55:04_239
site_4,Changing c vlan for IKMHWE6RYXGOP28C from site_4,2024-11-07 15:55:05_932
site_3,Changing s vlan for IDDTVL4IZ8A607RB from site_3,2024-11-07 15:55:08_039
site_2,Changing vlan type for 6ON8DYUDVC7FYZ92 from site_2,2024-11-07 15:55:08_802
site_8,Changing vlan type for 66JKK2NEK39MFG99 from site_8,2024-11-07 15:55:09_850
site_7,Changing snmp profile for HUIRFWVIICY5ICKU from site_7,2024-11-07 15:55:14_400
site_6,Changing c vlan for T2740VMG9YQEHF5D from site_6,2024-11-07 15:55:19_670
site_6,Unregistering QG6D96MC6LTULLGW from site_6,2024-11-07 15:55:23_353
site_2,Unregistering VETMQ35WXD9GDUDV from site_2,2024-11-07 15:55:25_496
site_4,Changing state of mqtt from site_4,2024-11-07 15:55:30_503
site_4,Unregistering HU9WCPZ1KZLOPVCA from site_4,2024-11-07 15:55:33_063
site_2,Changing vlan type for 5QEPL5WB2FSCYPT9 from site_2,2024-11-07 15:55:43_759
site_2,Changing state of sftp-client from site_2,2024-11-07 15:55:45_172
site_6,Changing state of ftp-client from site_6,2024-11-07 15:55:46_619
site_6,Changing snmp profile for DPMJFH1DZ3VN6SCI from site_6,2024-11-07 15:55:52_443
site_5,Changing c vlan for Q5T212GUMBTWAVK7 from site_5,2024-11-07 15:55:53_225
site_6,Changing vlan type for 790AB7S9OVACI7V3 from site_6,2024-11-07 15:55:54_122
site_5,Unregistering 2C3VKQXI4ZSZH053 from site_5,2024-11-07 15:55:54_709
site_7,Changing s vlan for VSK0G5Z4Q590UHF9 from site_7,2024-11-07 15:55:58_348
site_5,Changing gemport for 1V54SZUP0DGR5VGA from site_5,2024-11-07 15:56:08_540
site_8,Changing c vlan for JP8I7CSD1UIEMGFB from site_8,2024-11-07 15:56:16_660
site_4,Unregistering 6CXHN0STHGWBJ7GV from site_4,2024-11-07 15:56:18_443
site_5,Changing s vlan for HU9WCPZ1KZLOPVCA from site_5,2024-11-07 15:56:23_871
site_7,Changing gemport for JJ8YOGYEVYQXIVWG from site_7,2024-11-07 15:56:24_818
site_7,Changing state of ftp-client from site_7,2024-11-07 15:56:28_622
site_2,Changing vlan type for 9SL7C0UGYA642JHP from site_2,2024-11-07 15:56:30_559
site_5,Unregistering 6PEA612Z6Y10SV6I from site_5,2024-11-07 15:56:35_758
site_3,Changing vlan type for IG7C29XZBSI9IVGB from site_3,2024-11-07 15:56:40_513
site_4,Changing vlan type for VFII93IG8BIG7ORJ from site_4,2024-11-07 15:56:41_401
site_6,Changing s vlan for T2740VMG9YQEHF5D from site_6,2024-11-07 15:56:45_395
site_7,Changing c vlan for 039QZI6OWHAOMLOC from site_7,2024-11-07 15:56:49_390
site_6,Changing gemport for 8T9WOFKPLP7J8P17 from site_6,2024-11-07 15:56:50_432
site_5,Changing snmp profile for 184RU0KYYQ42BSF3 from site_5,2024-11-07 15:56:55_302
site_5,Changing c vlan for DPMJFH1DZ3VN6SCI from site_5,2024-11-07 15:56:57_563
site_4,Changing state of sftp-client from site_4,2024-11-07 15:57:01_545
site_6,Changing s vlan for 6YQNYKYLLT2FB7GT from site_6,2024-11-07 15:57:05_196
site_1,Changing c vlan for ATWCPFXF1NLREALD from site_1,2024-11-07 15:57:12_321
site_5,Changing snmp profile for 9RWZKUK4N9QA6VIE from site_5,2024-11-07 15:57:12_719
site_1,Changing vlan type for 1V54SZUP0DGR5VGA from site_1,2024-11-07 15:57:13_456
site_4,Changing vlan type for P66UWM8CN8RMZRBX from site_4,2024-11-07 15:57:15_339
site_4,Changing vlan type for PFI4ZA6WX9R507NX from site_4,2024-11-07 15:57:16_133
site_4,Changing gemport for H7L85MCOHMRLZ5U3 from site_4,2024-11-07 15:57:18_215
site_7,Changing gemport for 790AB7S9OVACI7V3 from site_7,2024-11-07 15:57:19_445
site_8,Changing s vlan for W1QDXCPKUF1D5O1U from site_8,2024-11-07 15:57:20_392
site_1,Changing state of mqtt from site_1,2024-11-07 15:57:27_127
site_8,Changing s vlan for 66JKK2NEK39MFG99 from site_8,2024-11-07 15:57:29_798
site_6,Changing s vlan for 9N3V6D2HMG1TZPYF from site_6,2024-11-07 15:57:36_156
site_1,Changing vlan type for H7L85MCOHMRLZ5U3 from site_1,2024-11-07 15:57:37_868
site_3,Changing s vlan for JNF8W8T9D1X0Q052 from site_3,2024-11-07 15:57:38_424
site_8,Changing c vlan for IKMHWE6RYXGOP28C from site_8,2024-11-07 15:57:43_027
site_1,Changing s vlan for 6CXHN0STHGWBJ7GV from site_1,2024-11-07 15:57:48_373
site_3,Unregistering 2ALPKUJVA3QV0MUB from site_3,2024-11-07 15:57:51_631
site_5,Changing c vlan for 1G147TPHGUO8CSZ4 from site_5,2024-11-07 15:57:53_650
site_6,Changing c vlan for 6CXHN0STHGWBJ7GV from site_6,2024-11-07 15:57:55_567
site_2,Changing c vlan for 6CXHN0STHGWBJ7GV from site_2,2024-11-07 15:57:56_581
site_5,Changing s vlan for 7RIRDBB6RXDNSIIS from site_5,2024-11-07 15:58:00_534
site_4,Changing gemport for F7DDDK3JCATL2I9O from site_4,2024-11-07 15:58:02_563
site_5,Unregistering IKMHWE6RYXGOP28C from site_5,2024-11-07 15:58:05_221
site_6,Changing state of twamp from site_6,2024-11-07 15:58:06_386
site_2,Changing gemport for DHUQ23HTMJTNXIW0 from site_2,2024-11-07 15:58:10_693
site_6,Changing s vlan for K7ESV0EKGGQ2AKHL from site_6,2024-11-07 15:58:19_425
site_4,Changing c vlan for 8C98WAFKXO5O18ZG from site_4,2024-11-07 15:58:21_216
site_6,Changing s vlan for YLJQ7MN32YPIY8IW from site_6,2024-11-07 15:58:27_001
site_6,Changing vlan type for MTE5VRDCEX00QPWN from site_6,2024-11-07 15:58:29_795
site_5,Changing c vlan for 7RIRDBB6RXDNSIIS from site_5,2024-11-07 15:58:32_714
site_1,Unregistering MRSRGWZAVG46WZZK from site_1,2024-11-07 15:58:36_370
site_2,Changing vlan type for R7BZGH4EUC9SDDW4 from site_2,2024-11-07 15:58:42_434
site_5,Changing snmp profile for 6CXHN0STHGWBJ7GV from site_5,2024-11-07 15:58:43_790
site_3,Changing c vlan for UJA28GAVQNG5GDRQ from site_3,2024-11-07 15:58:44_403
