timestamp,uuid,site,fixed_detected,event_type,sn
2024-12-07 14:19:30_171,5e42bef5-3d55-49e1-9e10-838c9a7b5cda,site_7,detected,gemport,XBHRLS2QBE024EMT
2024-12-07 14:19:33_464,2c3dfa66-b665-4ecb-89c7-9647f76e88b8,site_7,detected,service changed,snmp
2024-12-07 14:19:33_464,2dcdca56-3f88-4d23-87b5-7b1547ed23a5,site_7,detected,service changed,ssh
2024-12-07 14:19:47_667,2c3dfa66-b665-4ecb-89c7-9647f76e88b8,site_7,fixed,service changed,snmp
2024-12-07 14:19:48_669,2dcdca56-3f88-4d23-87b5-7b1547ed23a5,site_7,fixed,service changed,ssh
2024-12-07 14:20:02_852,9a95896d-0f32-46bd-a0df-ed7a46c70d49,site_2,detected,service changed,ipdr
2024-12-07 14:20:02_852,26ffdd9f-82ee-4ecf-b26b-35a1d1e087d4,site_2,detected,service changed,mqtt
2024-12-07 14:20:19_725,9a95896d-0f32-46bd-a0df-ed7a46c70d49,site_2,fixed,service changed,ipdr
2024-12-07 14:20:20_727,26ffdd9f-82ee-4ecf-b26b-35a1d1e087d4,site_2,fixed,service changed,mqtt
2024-12-07 14:20:29_780,7a07eb72-57c6-4530-9c90-2b61a4f213fc,site_6,detected,service changed,netconf
2024-12-07 14:20:46_773,7a07eb72-57c6-4530-9c90-2b61a4f213fc,site_6,fixed,service changed,netconf
2024-12-07 14:21:24_930,11df3cd8-604f-43ff-880a-cab1de484d59,site_4,detected,service changed,snmp
2024-12-07 14:21:39_850,5e42bef5-3d55-49e1-9e10-838c9a7b5cda,site_7,fixed,gemport,XBHRLS2QBE024EMT
2024-12-07 14:21:42_854,11df3cd8-604f-43ff-880a-cab1de484d59,site_4,fixed,service changed,snmp
2024-12-07 14:22:05_936,25b62e67-dbab-4ddd-aa5a-73484fd7eb72,site_7,detected,unregistered,6GXYS78A4UWT7VT1
2024-12-07 14:22:05_947,d0ce9b01-7be9-4d27-a8be-6e9471fdca96,site_7,detected,gemport,15FOFS277V2PN76Z
2024-12-07 14:22:05_977,438c03b1-2ff7-4db7-8b3a-a27ce1dd9d70,site_7,detected,vlan_type,4VZPOFTH7T9K2Q6N
2024-12-07 14:22:05_986,8946b0ce-8976-4935-b4b5-a25792a205a2,site_7,detected,snmp_profile,9MHD1Y0DDAEU59FH
2024-12-07 14:22:05_986,016f64e0-6391-4058-804d-65ad18cd121b,site_7,detected,snmp_profile,RBQQLRUTJ1SV96ZX
2024-12-07 14:22:09_255,06480bd9-5ba4-4280-bde7-fd6b364a8d83,site_7,detected,service changed,ssh
2024-12-07 14:22:23_933,06480bd9-5ba4-4280-bde7-fd6b364a8d83,site_7,fixed,service changed,ssh
2024-12-07 14:23:19_087,e5a5c5d0-2389-4cc6-aacf-94fd89f4b5a4,site_1,detected,service changed,dhcp-relay
2024-12-07 14:23:19_088,ebf4e5a1-8390-4a69-ac38-b1ba3042d861,site_1,detected,service changed,ipdr
2024-12-07 14:23:19_088,48f972f5-e969-43a5-8ec1-41789d14f0ba,site_1,detected,service changed,mqtt
2024-12-07 14:23:19_088,3ee11986-005b-4f19-a8df-6f6f0713ec30,site_1,detected,service changed,netconf
2024-12-07 14:23:19_088,6375cc83-101d-4f59-ba58-f7ec8bae9dee,site_1,detected,service changed,ntp
2024-12-07 14:23:19_088,09019afe-2c14-4221-b509-c465bdf616b1,site_1,detected,service changed,portal
