_,Starting chaos monkey,2024-11-13 10:53:44_455
site_2,Changing board state to Standby_active,2024-11-13 10:53:59_701
site_2,Changing voltage for 76IELDRSA61GJ6YD from site_2 to set_high_voltage,2024-11-13 10:54:33_134
site_3,Changing board state to Standby_active,2024-11-13 10:54:42_296
site_2,Changing board state to Standby_failed,2024-11-13 10:54:56_465
site_2,Changing board state to Standby_active,2024-11-13 10:55:35_017
site_2,Changing board state to Standby_failed,2024-11-13 10:55:47_448
site_2,Changing voltage for 6ZUH0MOOSJ08J4PN from site_2 to set_normal_voltage,2024-11-13 10:55:55_761
site_3,Changing board state to Standby_failed,2024-11-13 10:56:02_693
site_3,Changing voltage for EEWAD1TJ8BK4ZY3W from site_3 to set_low_voltage,2024-11-13 10:56:07_093
site_2,Changing board state to Standby_active,2024-11-13 10:56:10_615
site_1,Changing board state to Standby_active,2024-11-13 10:56:13_805
site_3,Changing board state to Standby_active,2024-11-13 10:56:23_950
site_3,Changing board state to Standby_failed,2024-11-13 10:56:44_737
site_3,Changing voltage for ICYDLZ5Y2RMD8DQD from site_3 to set_low_voltage,2024-11-13 10:56:50_584
site_1,Changing board state to Standby_failed,2024-11-13 10:57:14_387
site_1,Changing board state to Standby_active,2024-11-13 10:57:29_806
site_2,Changing voltage for RJ3J4JA43ISHGU0M from site_2 to set_normal_voltage,2024-11-13 10:57:39_824
site_3,Changing board state to Standby_active,2024-11-13 10:57:44_024
site_1,Changing board state to Standby_failed,2024-11-13 10:57:57_808
site_1,Changing voltage for SONKSQQ00KMEL4JD from site_1 to set_low_voltage,2024-11-13 10:58:01_971
site_2,Changing voltage for DQ4AMSFD4XZ7FEZM from site_2 to set_low_voltage,2024-11-13 10:58:10_552
site_3,Changing voltage for OCB9DXTJA84JA842 from site_3 to set_normal_voltage,2024-11-13 10:58:24_505
site_3,Changing voltage for 3J4HBX5UUMIOSHDD from site_3 to set_high_voltage,2024-11-13 10:58:45_607
site_2,Changing board state to Standby_failed,2024-11-13 10:58:49_247
site_2,Changing board state to Standby_active,2024-11-13 10:59:20_687
site_1,Changing board state to Standby_active,2024-11-13 10:59:39_604
site_3,Changing voltage for CSF2HQE2IHE6C904 from site_3 to set_low_voltage,2024-11-13 11:00:07_475
site_2,Changing voltage for RPQDA4U8X0M2KQ33 from site_2 to set_normal_voltage,2024-11-13 11:00:22_352
site_3,Changing voltage for GMBGLFC45A4QZ55I from site_3 to set_high_voltage,2024-11-13 11:00:30_961
site_1,Changing board state to Standby_failed,2024-11-13 11:00:36_906
site_2,Changing board state to Standby_failed,2024-11-13 11:00:51_801
site_2,Changing board state to Standby_active,2024-11-13 11:00:56_749
site_1,Changing board state to Standby_active,2024-11-13 11:01:00_657
site_1,Changing board state to Standby_failed,2024-11-13 11:01:00_906
site_2,Changing board state to Standby_failed,2024-11-13 11:01:21_153
site_3,Changing voltage for KTT3DWGW5MGWGGO4 from site_3 to set_normal_voltage,2024-11-13 11:01:26_074
site_1,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-13 11:01:43_314
site_1,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-13 11:01:50_031
site_2,Changing board state to Standby_active,2024-11-13 11:01:50_254
site_1,Changing board state to Standby_active,2024-11-13 11:01:57_349
site_3,Changing board state to Standby_failed,2024-11-13 11:02:13_384
site_2,Changing voltage for VZ4L619QAPX55CIU from site_2 to set_normal_voltage,2024-11-13 11:02:19_897
site_3,Changing board state to Standby_active,2024-11-13 11:02:34_716
site_1,Changing board state to Standby_failed,2024-11-13 11:02:48_177
site_1,Changing voltage for JQCLY6A0UQR4R9OW from site_1 to set_high_voltage,2024-11-13 11:02:52_641
site_2,Changing voltage for TVXDRT5MQ4EIHMNF from site_2 to set_low_voltage,2024-11-13 11:02:58_098
site_2,Changing board state to Standby_failed,2024-11-13 11:03:06_147
site_2,Changing voltage for 52PHXLBHH17W9RZM from site_2 to set_normal_voltage,2024-11-13 11:03:12_784
site_1,Changing voltage for 20UJSMY7X5N3YS19 from site_1 to set_normal_voltage,2024-11-13 11:03:24_306
site_2,Changing board state to Standby_active,2024-11-13 11:03:34_518
site_1,Changing voltage for O1JACIQO6DLC02Z2 from site_1 to set_normal_voltage,2024-11-13 11:03:49_706
site_2,Changing board state to Standby_failed,2024-11-13 11:03:49_787
site_1,Changing voltage for ICYDLZ5Y2RMD8DQD from site_1 to set_normal_voltage,2024-11-13 11:03:55_714
site_1,Changing voltage for X1OFVVQ4FZNNLS7F from site_1 to set_low_voltage,2024-11-13 11:03:56_408
site_2,Changing board state to Standby_active,2024-11-13 11:04:31_937
site_1,Changing board state to Standby_active,2024-11-13 11:04:41_901
site_3,Changing board state to Standby_failed,2024-11-13 11:04:51_802
site_2,Changing voltage for FVVJLPMJ0HPM7G8C from site_2 to set_normal_voltage,2024-11-13 11:05:18_275
site_1,Changing board state to Standby_failed,2024-11-13 11:05:23_230
site_2,Changing board state to Standby_failed,2024-11-13 11:05:48_787
site_3,Changing voltage for 2ZX7LHTHPMDTFP30 from site_3 to set_normal_voltage,2024-11-13 11:06:04_453
site_3,Changing board state to Standby_active,2024-11-13 11:06:10_992
site_1,Changing board state to Standby_active,2024-11-13 11:06:26_003
site_3,Changing board state to Standby_failed,2024-11-13 11:06:28_103
site_3,Changing voltage for 7IXMCP62C08LP3VZ from site_3 to set_normal_voltage,2024-11-13 11:06:33_534
site_3,Changing voltage for PLIAOSGY0X85870B from site_3 to set_normal_voltage,2024-11-13 11:06:45_349
site_1,Changing board state to Standby_failed,2024-11-13 11:06:52_991
site_1,Changing voltage for C8GVJ0B1RJH5PPPD from site_1 to set_high_voltage,2024-11-13 11:07:06_845
site_2,Changing board state to Standby_active,2024-11-13 11:07:11_595
site_3,Changing board state to Standby_active,2024-11-13 11:07:26_669
site_2,Changing board state to Standby_failed,2024-11-13 11:08:03_203
site_2,Changing voltage for 4ZSWZCTPMCZRV0JG from site_2 to set_high_voltage,2024-11-13 11:08:04_652
site_2,Changing voltage for 5OFI9CLO2RF4LBPB from site_2 to set_normal_voltage,2024-11-13 11:08:15_096
site_2,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-13 11:08:32_941
site_2,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-13 11:08:40_310
site_1,Changing board state to Standby_active,2024-11-13 11:08:50_185
site_2,Changing voltage for 94WHYZYSMI1YE1HB from site_2 to set_normal_voltage,2024-11-13 11:08:52_699
site_1,Changing board state to Standby_failed,2024-11-13 11:09:09_454
site_2,Changing voltage for A2TRL4SW7UKKUEGP from site_2 to set_high_voltage,2024-11-13 11:09:17_672
site_3,Changing board state to Standby_failed,2024-11-13 11:09:22_463
site_1,Changing board state to Standby_active,2024-11-13 11:09:32_949
site_3,Changing board state to Standby_active,2024-11-13 11:09:47_646
site_2,Changing board state to Standby_active,2024-11-13 11:09:55_646
site_2,Changing board state to Standby_failed,2024-11-13 11:10:03_980
site_1,Changing voltage for MF1W7AFE4SQDEZNJ from site_1 to set_low_voltage,2024-11-13 11:10:05_805
site_1,Changing board state to Standby_failed,2024-11-13 11:10:12_542
site_3,Changing board state to Standby_failed,2024-11-13 11:10:14_954
site_2,Changing board state to Standby_active,2024-11-13 11:10:18_326
site_2,Changing voltage for FMTYAG86R4VQLB17 from site_2 to set_high_voltage,2024-11-13 11:10:44_217
